model,accuracy,precision,recall,f1,tp,tn,fp,fn
kNN (k=5),0.8,0.5714285714285714,0.3076923076923077,0.4,4,44,3,9
Naive Bayes,0.9,1.0,0.5384615384615384,0.7000000000000001,7,47,0,6
